,Icon,Company,Ratings,Reviews,Salaries,Jobs,Location,Company Size,Industry,Description
20,https://media.glassdoor.com/sql/1603125/dxc-technology-squareLogo-1623241057027.png,DXC Technology,3.6,25.3T,11.1T,97,29 office locations,10000+ Employees,Information Technology Support Services,"DXC Technology is a Fortune 500 global IT services leader. Our more than 130,000 people in 70-plus countries are entrusted by our customers to deliver what matters most. We use the power of technology to deliver mission critical IT services across the Enterprise Technology Stack to drive business impact. DXC is an employer of choice with strong values, and fosters a culture of inclusion, belonging and corporate citizenship. We are DXC."
21,https://media.glassdoor.com/sql/31549/concentrix-squareLogo-1695636773078.png,Concentrix,4.1,34.2T,10.2T,1.4T,237 office locations,10000+ Employees,Information Technology Support Services,"We’re Concentrix + Webhelp and we Design, Build, and Run the future of CX.

We understand customers better than anyone else can. Within billions of data-points, our engineers find and harness the insight to craft experiences that touch hearts and move markets. We believe in creating experiences that go beyond Wow; combining human talent with artificial intelligence to design, build and run truly integrated customer journeys, at scale, across the entire enterprise. 

Whether you’re a small company with big ideas or a leading global brand, we’re not just your next-door neighbor, we’re everyone’s, everywhere. 

It doesn’t matter if your customer journey spans channels, technology, 
or even oceans – we’ve got you covered. 

We’re behind the scenes of the brands you rely on every day, So chances are, we’ve already met! 

Learn more: https://jobs.concentrix.com/global/en"
22,https://media.glassdoor.com/sql/8843/citi-squareLogo-1686753614162.png,Citi,3.9,33.6T,5.1T,3.2T,26 office locations,10000+ Employees,Investment & Asset Management,"Citi is more than a global financial services company. It’s an engine for progress. Join us, and you’ll have the chance to get involved in progress in all its shapes and forms, right across the world. From the micro to the macro, from Australia to Zambia, the work we do has real positive impact. Wherever you are and whatever you do, progress starts here. 

We’ve built a world famous, trusted brand over 200 years of continuously evolving financial services. And today, our influence continues to grow: with financial operations in 160 countries and 100 currencies. We have 200 million different clients, including some of the biggest names in the industries, sectors, businesses and governments that we serve every day. It all adds up to an exciting place to be for talented, ambitious people who want to build a truly remarkable career."
23,https://media.glassdoor.com/sql/1519/intel-corporation-squarelogo-1599065494667.png,Intel Corporation,4.1,30.6T,4.5T,2.9T,32 office locations,10000+ Employees,Computer Hardware Development,No Info
24,https://media.glassdoor.com/sql/130/abc-squarelogo.png,ABC,4.0,15.9T,11.6T,9,7 office locations,10000+ Employees,Broadcast Media,"Some Desperate Housewives, a Modern Family, and a group of doctors schooled in Grey's Anatomy call this network home. ABC operates the #3 television network in the US (behind CBS and FOX), with more than 230 affiliates (including 10 corporate-owned stations). ABC also owns an 80% stake in ESPN, a leader in cable sports broadcasting with a stable of channels, including ESPN2, ESPN Classic, and ESPN News, as well as its flagship channel. (Publisher Hearst owns the remaining 20% of ESPN.) In addition, the company operates mass-market publisher Hyperion. ABC is the cornerstone of Disney-ABC Television Group, the TV division of parent Walt Disney."
25,https://media.glassdoor.com/sql/10471/sap-squareLogo-1658433034046.png,SAP,4.4,29.5T,5.4T,1.4T,28 office locations,10000+ Employees,Enterprise Software & Network Solutions,No Info
26,https://media.glassdoor.com/sql/3482/hsbc-holdings-squarelogo.png,HSBC,3.8,29T,5.5T,2.4T,9 office locations,10000+ Employees,Banking & Lending,"One of the world's largest banking groups by assets, HSBC Holdings owns subsidiaries throughout Europe, Hong Kong and the rest of the Asia/Pacific region, the Middle East and Africa, and the Americas. All told, the company has some 7,500 locations in more than 80 countries. Its activities include consumer and commercial banking, credit cards, private banking, investment banking, and leasing. Its North American operations comprise HSBC USA, HSBC Bank Canada, HSBC Bank Bermuda, and Grupo Financiero HSBC in Mexico."
27,https://media.glassdoor.com/sql/145/j-p-morgan-squarelogo-1479932535271.png,J.P. Morgan,4.0,23.9T,7.4T,--,25 office locations,10000+ Employees,Investment & Asset Management,"J.P. Morgan is a leader in financial services, offering solutions to clients in more than 100 countries with one of the most comprehensive global product platforms available. We have been helping our clients to do business and manage their wealth for more than 200 years. Our business has been built upon our core principle of putting our clients'​ interests first.

We have been a key player in the economic development of India, with a legacy going back 100 years. After having a presence in India for many years, we established our first representative office in Mumbai in 1945, and J.P. Morgan has been providing first-class service to clients in the country since then. Today, the firm has presence across the country - in Mumbai, Bengaluru, Hyderabad, New Delhi, Chennai, Pune, Ahmedabad and Noida.

Our India franchise provides a comprehensive range of services including Corporate and Investment banking, Commercial Banking and Asset & Wealth Management. Our India Corporate Centers provide 24x7 global support for every division of the firm around the world, including Consumer and Community Banking.

J.P. Morgan is part of JPMorgan Chase & Co. (NYSE: JPM), a global financial services firm. 
© 2023 JPMorgan Chase & Co. All rights reserved.​ JPMorgan Chase is an Equal Opportunity Employer, including Disability/Veterans"
28,https://media.glassdoor.com/sql/640/qualcomm-squareLogo-1662140255236.png,Qualcomm,4.0,10.3T,4.2T,883,34 office locations,10000+ Employees,Computer Hardware Development,"We’re looking for inventive minds to help fuel what’s next in 5G.

Qualcomm is the wireless technology innovator and the company of inventors that unlocked 5G. We’re ushering in an age of rapid acceleration in wireless connectivity that’s transforming entire industries and enriching lives on a global scale. From smartphones to smart homes, mobile PCs to automotive, gaming to XR/VR/AR, and audio to factories of the future, 5G may be the most important technological development of the 21 st century — and Qualcomm is leading the way. 

But this is just the beginning. It takes brilliant minds with diverse skills, backgrounds, and cultures to transform 5G’s potential into world-changing technologies and products. This is the Invention Age — and this is where you come in."
29,https://media.glassdoor.com/sql/5224839/jpmorgan-chase-and-co-squarelogo-1702513332906.png,JPMorgan Chase & Co,4.0,25.9T,4.4T,4.9T,"Headquarters in New York, United States",10000+ Employees,Banking & Lending,"JPMorgan Chase is one of the world's oldest, largest and best-known financial institutions. With a history that traces our roots to 1799 in New York City, we carry forth the innovative spirit of our heritage firms in our global operations in over 60 countries. We serve millions of customers and many of the world’s most prominent corporate, institutional, and government clients-managing assets and investments, offering business advice and strategies, and providing innovative banking solutions and services.

© 2023 JPMorgan Chase & Co. All rights reserved. JPMorgan Chase is an Equal Opportunity Employer, including Disability/Veterans."
30,https://media.glassdoor.com/sql/8874/bank-of-america-squareLogo-1696271923493.png,Bank of America,4.0,40.3T,2.9T,1.2T,25 office locations,10000+ Employees,Banking & Lending,"Bank of America is one of the world’s leading financial institutions, serving individual consumers, small and middle-market businesses and large corporations with a full range of banking, investing, asset management and other financial and risk management products and services. 

We provide unmatched convenience in the United States, serving approximately 68 million consumer and small business clients with approximately 3,900 retail financial centers, approximately 15,000 ATMs and award-winning digital banking with approximately 56 million verified digital users. 

We are a global leader in wealth management, corporate and investment banking and trading across a broad range of asset classes, serving corporations, governments, institutions and individuals around the world. Bank of America offers industry-leading support to approximately 3 million small business households through a suite of innovative, easy-to-use online products and services. We serve clients through operations across the United States, its territories and more than 35 countries. 

By driving Responsible Growth, we deliver for teammates, clients, and the communities we serve.  Being a Great Place to Work for our teammates is core to our approach. Our goal continues to be a company where people want to work today and build a career.  We provide employees with access to leading benefits and programs that help teammates be well—physically, emotionally and financially.  And we provide a variety of resources to help teammates grow in their roles and build new skills. 

Our diversity—in thought, style, gender, sexual orientation, gender identity, race, ethnicity, culture, religion, age, ability, military status and experience—makes us stronger and is essential for us to serve our clients, fulfill our purpose and drive Responsible Growth."
31,https://media.glassdoor.com/sql/2800/goldman-sachs-squarelogo-1579121885039.png,Goldman Sachs,3.8,18.2T,5.5T,248,25 office locations,10000+ Employees,Investment & Asset Management,"The Goldman Sachs Group, Inc. is a leading global investment banking, securities and investment management firm that provides a wide range of financial services to a substantial and diversified client base that includes corporations, financial institutions, governments and high-net-worth individuals. Founded in 1869, the firm is headquartered in New York and maintains offices in all major financial centers around the world."
32,https://media.glassdoor.com/sql/194/target-squarelogo-1473787305116.png,Target,4.3,81.1T,1.7T,10.1T,5 office locations,1001 to 5000 Employees,General Merchandise & Superstores,"From our Minneapolis-based headquarters to around 1,800 stores and 35 distribution centers across the U.S., Target offers a world of possibilities in an environment that empowers its team members to innovate and contribute ideas. Join a company that’s focused on moving forward to what’s next while giving back to the communities they serve. Since 1946, Target has given 5 percent of its profit through community grants and programs; today, that giving equals more than $4 million a week.

As extended headquarters, nearly every aspect of Target’s business is represented in Bangalore, and a strong connection to HQ means ideas and results flow seamlessly across the globe. The Target in India team works on some of our most important strategies, and also leads our efforts around AI, machine learning, in-house engineering and data science strategies."
33,https://media.glassdoor.com/sql/8452/cgi-squarelogo-1451998175252.png,CGI,3.8,18T,5.5T,1.9T,65 office locations,10000+ Employees,Business Consulting,"CGI is one of the largest IT and business consulting services firms in the world. Our 90,000 professionals work together every day to solve complex business and IT challenges for some of the world’s largest companies and governments. We deliver comprehensive, scalable and sustainable services for our clients in the areas of digital transformation, advanced analytics, intelligent automation, cloud and IT modernization and sustainability.

Life at CGI is grounded in teamwork, respect and belonging. We hire people who are looking for more than just a job, but rather a place they can make an impact with the freedom to grow their career and do extraordinary things.

Join our talent network to learn more about Life at CGI: https://hubs.ly/Q01p2nTX0"
34,https://media.glassdoor.com/sql/28/honeywell-squarelogo-1495480258685.png,Honeywell,4.0,21.4T,5.9T,3.1T,25 office locations,10000+ Employees,Computer Hardware Development,We have been innovating for more than 100 years – and now we’re creating what’s next.
35,https://media.glassdoor.com/sql/3456/barclays-squareLogo-1620301796378.png,Barclays,4.0,19T,5.6T,478,27 office locations,10000+ Employees,Banking & Lending,No Info
36,https://media.glassdoor.com/sql/3510/siemens-squareLogo-1676654067586.png,Siemens,4.2,21.5T,4.8T,1.5T,39 office locations,10000+ Employees,Electronics Manufacturing,"Siemens is a global powerhouse focusing on the areas of electrification, automation and digitalization. In 1908, the company established a Technical Bureau in Singapore as a sales office of the London-based Siemens Brothers Dynamo Works Limited, to search for new business opportunities in the then flourishing British colony. More than 100 years on, Siemens has grown with Singapore, and has helped to develop the Lion City into the modern, economic powerhouse it is today."
37,https://media.glassdoor.com/sql/11763/icici-bank-squarelogo.png,ICICI Bank,3.7,12.4T,13T,26,25 office locations,10000+ Employees,Banking & Lending,...
38,https://media.glassdoor.com/sql/29275/mphasis-squareLogo-1618317067852.png,Mphasis,3.5,9.3T,8T,37,33 office locations,10000+ Employees,Information Technology Support Services,"A leading applied technology services company, we innovate to deliver service excellence and successful outcomes across sales, delivery and development. With our strategy to be agile, nimble and customer-centric, we anticipate the future of applied technology and predict tomorrow’s trends to keep our clients at the summit in an ever-changing marketplace. Leading with architecture and design, our next-gen solutions enable enterprises to accelerate on their digital transformation journey.
 
Customer centricity is foundational to us and is reflected in the Mphasis’ Front2Back™ (F2B) transformation approach.  F2B is a customer-in view approach that uses our industry-specific X2C2TM framework, and harnesses the power of cognitive technologies and rich data resident in enterprises to transform them. It is a way to introduce disruptive technology to smartly transform legacy environments. . Mphasis’ Service Transformation approach helps ‘shrink the core’ through the application of digital technologies across legacy environments within an enterprise, enabling businesses to stay ahead in a changing world. Mphasis’ core reference architectures and tools, speed and innovation with domain expertise and specialization are key to building strong relationships with marquee clients. Click here to know more
 
Mphasis Presents #HowGeekAreYou
Passion, Perseverance, Perfection – we are defined by these three words. Relentless in our pursuit of knowledge, we believe in accepting the difference and defining the 'new normal', staying true to our vision and values. We believe in growth by knowledge, responsibility by authority and freedom by flexibility. 

Be a part of a place where ideas are celebrated and perseverance is worshipped. Where Geeks come together to pursue digital transformation. Collaborate with those who think way ahead of their time. Grow along with future visionaries. There's a whole new world waiting for you at Mphasis.
 
Our doors are wide open, and breakthrough ideas are welcome from anyone. But we have a question to ask before we let you in: How Geek Are You?"
39,https://media.glassdoor.com/sql/89/verizon-squareLogo-1628778296366.png,Verizon,3.8,33.6T,2.6T,1.2T,23 office locations,10000+ Employees,Telecommunications Services,"You want more out of a career. A place to share your ideas freely — even if they’re daring or different. Where the true you can shine through. A space to create and connect with people who truly care. And where there’s the flexibility to focus on the passions that matter most.

Our network is built by people like you. We’re a human network that reaches across the globe and works behind the scenes. We anticipate, lead, and believe that listening is where learning begins. In crisis and in celebration, we come together—lifting up our communities and striving to make an impact to move the world forward.

So, if you're fueled by purpose, and powered by persistence, explore a career with us. Here, you’ll discover the rigor it takes to make a difference and the fulfillment that comes with living the #NetworkLife.

www.verizon.com/careers"
40,https://media.glassdoor.com/sql/64/adp-squareLogo-1690899108128.png,ADP,3.9,19.9T,3.6T,1.7T,18 office locations,10000+ Employees,Enterprise Software & Network Solutions,"Because this is the place. The place where you come to challenge yourself, share generously, take risks, and create change. Where you can grow your career with an established, respected, global leader, and feel really good about it."
41,https://media.glassdoor.com/sql/3472/ericsson-worldwide-squareLogo-1633528460972.png,Ericsson-Worldwide,4.1,18.6T,5.1T,2.1T,26 office locations,10000+ Employees,Telecommunications Services,"Ericsson is one of the leading providers of Information and Communication Technology (ICT) to service providers, with about 40% of the world’s mobile traffic carried through our networks. We enable the full value of connectivity by creating game-changing technology and services that are easy to use, adopt and scale, making our customers successful in a fully connected world. For more than 140 years, our ideas, technology and people have changed the world: real turning points that have transformed lives, industries and society as a whole."
